,0,1,2,3,4,5,6,7,8,9
0,134.0,157.0,214.0,167.0,205.0,213.0,156.0,161.0,230.0,212.0
1,110.0,91.0,137.0,130.0,110.0,113.0,144.0,138.0,135.0,121.0
2,49.0,49.0,67.0,63.0,77.0,73.0,65.0,63.0,63.0,69.0
3,28.0,30.0,35.0,38.0,37.0,28.0,39.0,35.0,28.0,49.0
4,14.0,13.0,18.0,26.0,31.0,21.0,16.0,19.0,17.0,24.0
5,7.0,7.0,7.0,14.0,14.0,10.0,13.0,13.0,12.0,7.0
6,5.0,7.0,1.0,13.0,10.0,5.0,7.0,5.0,5.0,9.0
7,3.0,2.0,0.0,3.0,4.0,1.0,2.0,0.0,3.0,4.0
8,2.0,2.0,0.0,1.0,1.0,5.0,3.0,1.0,3.0,1.0
9,1.0,0.0,0.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0
10,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
