,0,1,2,3,4,5,6,7,8,9
0,11.0,8.0,15.0,6.0,26.0,13.0,7.0,12.0,13.0,15.0
1,20.0,21.0,32.0,17.0,37.0,25.0,31.0,33.0,30.0,21.0
2,30.0,33.0,44.0,21.0,59.0,32.0,36.0,34.0,32.0,40.0
3,47.0,45.0,69.0,72.0,64.0,53.0,56.0,59.0,40.0,35.0
4,43.0,62.0,72.0,51.0,63.0,56.0,49.0,52.0,53.0,49.0
5,42.0,45.0,65.0,62.0,60.0,64.0,53.0,52.0,41.0,59.0
6,38.0,21.0,46.0,48.0,43.0,43.0,49.0,36.0,59.0,51.0
7,40.0,39.0,43.0,62.0,37.0,37.0,38.0,38.0,39.0,53.0
8,26.0,32.0,27.0,31.0,32.0,45.0,32.0,31.0,51.0,29.0
9,20.0,18.0,16.0,23.0,28.0,40.0,28.0,25.0,37.0,27.0
10,6.0,15.0,14.0,18.0,11.0,25.0,15.0,20.0,30.0,35.0
11,11.0,8.0,10.0,16.0,15.0,13.0,22.0,21.0,20.0,28.0
12,9.0,4.0,7.0,9.0,6.0,6.0,11.0,8.0,18.0,18.0
13,4.0,4.0,11.0,11.0,5.0,6.0,6.0,3.0,11.0,14.0
14,1.0,1.0,7.0,5.0,1.0,7.0,9.0,5.0,6.0,8.0
15,3.0,2.0,0.0,3.0,0.0,3.0,7.0,3.0,6.0,6.0
16,2.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,4.0,4.0
17,1.0,1.0,1.0,2.0,2.0,3.0,0.0,1.0,3.0,1.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
19,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
