,0,1,2,3,4,5,6,7,8,9
0,28.0,29.0,30.0,32.0,89.0,17.0,21.0,37.0,31.0,52.0
1,4.0,9.0,12.0,6.0,8.0,10.0,6.0,12.0,7.0,9.0
2,16.0,14.0,23.0,11.0,14.0,11.0,17.0,7.0,12.0,7.0
3,16.0,14.0,20.0,20.0,14.0,9.0,9.0,13.0,12.0,4.0
4,15.0,23.0,24.0,19.0,15.0,25.0,16.0,13.0,16.0,16.0
5,16.0,15.0,25.0,16.0,19.0,24.0,17.0,13.0,22.0,27.0
6,21.0,17.0,24.0,20.0,17.0,30.0,30.0,20.0,20.0,15.0
7,21.0,11.0,26.0,23.0,21.0,18.0,15.0,17.0,22.0,17.0
8,12.0,17.0,13.0,19.0,22.0,21.0,23.0,15.0,24.0,28.0
9,20.0,19.0,28.0,24.0,18.0,25.0,21.0,24.0,28.0,20.0
10,11.0,8.0,27.0,19.0,16.0,28.0,16.0,14.0,33.0,17.0
11,11.0,13.0,16.0,18.0,18.0,28.0,24.0,20.0,24.0,16.0
12,15.0,15.0,23.0,21.0,19.0,23.0,17.0,22.0,26.0,23.0
13,12.0,16.0,12.0,16.0,14.0,20.0,15.0,23.0,16.0,23.0
14,10.0,15.0,16.0,19.0,13.0,13.0,14.0,14.0,19.0,24.0
15,10.0,14.0,13.0,14.0,15.0,25.0,19.0,9.0,22.0,18.0
16,13.0,14.0,15.0,9.0,10.0,22.0,12.0,12.0,16.0,15.0
17,9.0,6.0,13.0,11.0,8.0,9.0,19.0,12.0,14.0,8.0
18,4.0,14.0,11.0,12.0,8.0,11.0,18.0,14.0,9.0,16.0
19,10.0,9.0,7.0,10.0,8.0,10.0,8.0,9.0,14.0,14.0
20,8.0,6.0,11.0,12.0,8.0,10.0,13.0,4.0,8.0,14.0
21,9.0,12.0,8.0,8.0,9.0,9.0,14.0,12.0,15.0,18.0
22,3.0,7.0,8.0,6.0,13.0,9.0,9.0,10.0,1.0,11.0
23,2.0,6.0,12.0,5.0,7.0,6.0,8.0,11.0,5.0,15.0
24,7.0,3.0,4.0,7.0,11.0,7.0,6.0,7.0,8.0,8.0
25,7.0,4.0,8.0,5.0,7.0,8.0,5.0,9.0,4.0,3.0
26,2.0,4.0,3.0,7.0,11.0,3.0,4.0,6.0,6.0,6.0
27,6.0,1.0,6.0,9.0,9.0,2.0,1.0,5.0,6.0,0.0
28,4.0,3.0,6.0,6.0,3.0,1.0,3.0,5.0,11.0,2.0
29,6.0,6.0,5.0,3.0,6.0,3.0,5.0,3.0,7.0,5.0
30,3.0,1.0,1.0,5.0,3.0,1.0,1.0,8.0,5.0,7.0
31,3.0,0.0,4.0,4.0,1.0,5.0,2.0,2.0,3.0,3.0
32,1.0,0.0,7.0,5.0,7.0,4.0,5.0,5.0,3.0,2.0
33,5.0,1.0,1.0,5.0,5.0,4.0,7.0,4.0,3.0,5.0
34,1.0,2.0,1.0,3.0,4.0,2.0,6.0,5.0,1.0,4.0
35,1.0,1.0,1.0,5.0,2.0,2.0,1.0,4.0,3.0,1.0
36,3.0,0.0,3.0,4.0,2.0,4.0,2.0,1.0,4.0,2.0
37,1.0,1.0,2.0,5.0,4.0,4.0,2.0,0.0,1.0,3.0
38,2.0,1.0,1.0,0.0,4.0,1.0,3.0,1.0,3.0,2.0
39,3.0,3.0,1.0,2.0,1.0,1.0,3.0,0.0,3.0,5.0
40,1.0,0.0,1.0,4.0,3.0,2.0,2.0,3.0,1.0,1.0
41,0.0,1.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0
42,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,2.0,1.0
43,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0
44,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
45,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0
46,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
47,0.0,0.0,0.0,1.0,1.0,3.0,1.0,5.0,0.0,2.0
48,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0
49,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
50,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
