,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,2,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,1,4,5,3,3,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,2,2,2,5,12,12,4,2,4,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,3,8,10,12,7,10,11,5,9,2,4,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,3,1,8,15,14,24,18,9,12,5,5,7,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,4,12,16,15,26,18,19,18,16,6,7,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,3,4,7,14,22,21,31,30,34,18,13,11,10,6,2,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,2,2,4,8,15,25,26,24,22,22,21,14,12,10,4,7,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,2,5,3,12,13,23,22,29,28,25,28,24,17,16,3,6,5,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,4,10,13,31,25,33,31,40,18,18,19,10,10,4,3,6,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,1,0,4,4,15,25,24,27,22,32,28,22,17,17,10,8,8,5,2,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,1,0,2,1,5,9,9,15,26,37,19,29,13,22,18,12,11,11,6,4,6,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,2,1,6,7,10,16,17,19,15,28,18,18,19,16,6,5,4,4,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
