,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,27,29,14,9,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,56,51,35,18,13,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,15,38,52,65,41,22,13,4,5,0,0,1,0,0,0,0,0,0,0,0,0
3,11,42,62,103,85,61,29,19,7,2,2,2,1,0,0,0,0,0,0,0,0
4,5,16,29,82,88,72,48,40,16,9,6,1,1,1,0,0,0,0,0,0,0
5,0,9,19,50,77,79,64,45,32,15,8,8,4,1,0,0,0,0,0,0,0
6,1,3,14,38,39,52,50,48,39,21,10,12,3,1,1,0,0,0,0,0,0
7,0,2,9,21,30,48,39,59,47,30,23,17,3,5,1,0,1,0,0,0,0
8,0,1,5,5,15,31,39,39,36,32,16,9,11,10,1,2,0,1,0,0,0
9,0,0,2,5,11,17,18,29,28,27,23,21,10,4,6,2,1,0,0,0,0
10,0,0,1,2,5,2,14,20,18,17,15,14,9,3,5,3,0,1,0,0,0
11,0,0,0,1,0,7,7,12,14,16,20,12,9,12,5,2,3,1,0,1,0
12,0,0,0,0,0,2,1,4,11,11,9,7,8,5,2,4,0,1,1,1,0
13,0,0,1,0,0,2,3,1,3,12,3,5,5,6,7,3,2,1,0,0,0
14,0,0,0,0,0,0,1,1,2,2,2,5,1,5,7,5,4,1,0,0,0
15,0,0,0,0,1,1,0,1,0,3,2,6,3,1,4,0,1,1,1,1,1
16,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0,1,1,2,1,1,0
17,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,2,1,2,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
19,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
