,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,1351,208,129,70,39,33,14,8,4,6,5,5,0,1,6,1
1,218,99,65,35,22,10,8,5,3,1,4,3,2,0,1,0
2,111,56,45,43,22,14,10,7,5,4,2,2,1,0,0,0
3,63,36,29,23,18,19,7,4,5,7,2,4,2,1,1,1
4,44,23,16,14,12,9,1,3,2,4,1,0,1,2,0,1
5,28,13,21,13,6,9,6,2,1,2,1,2,2,0,0,0
6,15,5,6,9,3,3,4,1,3,0,2,0,0,1,1,1
7,6,4,8,3,2,2,1,3,0,0,3,2,0,1,0,0
8,6,3,6,1,5,2,1,1,1,2,2,0,0,2,0,0
9,8,3,3,2,4,4,1,1,2,1,1,0,1,0,0,1
10,3,1,1,3,1,2,2,2,3,0,2,2,1,1,1,0
11,4,3,2,2,3,0,1,0,0,1,0,0,1,0,0,0
12,6,1,0,2,0,1,0,1,0,2,0,0,0,0,0,1
13,5,2,0,2,1,0,0,0,0,1,0,2,0,1,0,0
14,2,0,1,0,2,1,0,0,1,1,1,0,1,0,0,0
15,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0
