,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,75,39,18,18,22,11,14,15,8,6,7,5,1,2,4,4,2,3,1,3,1,0,0,1,1,0,1,2,0,1,0
1,26,56,49,25,17,15,4,4,2,3,3,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
2,25,33,67,56,30,20,14,4,5,7,3,3,0,1,0,4,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0
3,28,36,49,79,49,37,29,16,13,9,2,6,1,2,1,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0
4,25,18,30,57,52,52,30,24,18,13,6,7,2,4,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
5,22,9,15,36,51,53,37,29,24,9,11,10,6,3,0,2,1,2,0,0,0,1,0,1,0,1,0,0,0,0,0
6,12,8,19,26,25,38,37,34,22,18,15,7,7,6,3,3,3,0,0,1,1,1,0,2,1,0,0,0,0,1,0
7,13,2,5,15,22,21,29,20,25,19,14,10,7,6,5,1,0,4,2,0,0,2,0,0,0,0,0,0,0,1,0
8,17,2,5,12,13,23,23,21,23,23,6,9,6,7,5,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0
9,6,1,5,8,11,19,21,22,18,17,13,9,2,8,4,2,3,1,0,0,0,0,1,0,0,1,0,1,0,1,0
10,6,2,3,7,6,12,12,7,14,15,14,9,9,8,9,2,5,2,2,1,0,1,2,0,0,1,0,0,0,0,0
11,9,1,2,6,5,8,11,6,13,12,5,5,7,6,2,4,5,2,2,0,1,1,0,0,0,1,0,0,1,0,1
12,4,0,0,1,5,4,6,7,5,5,5,3,4,4,1,2,2,2,2,1,1,1,3,0,0,0,0,0,0,1,0
13,3,0,2,1,2,3,4,7,8,5,9,4,5,5,4,2,3,1,1,1,1,1,2,0,1,1,1,0,0,0,0
14,2,0,0,0,2,2,2,3,2,4,3,1,3,4,3,3,0,1,2,3,0,1,2,0,1,0,0,0,0,1,0
15,3,2,0,1,1,2,0,1,4,2,6,3,2,4,2,3,2,3,1,1,1,2,0,0,1,1,1,0,0,0,0
16,1,0,1,1,3,1,0,2,3,1,4,3,4,2,1,1,4,1,1,1,2,3,0,1,0,0,0,0,0,0,0
17,2,1,1,0,1,0,1,0,2,0,2,0,1,1,0,0,2,2,1,2,2,1,2,1,2,1,1,0,0,0,0
18,1,0,0,1,0,2,1,0,0,1,0,0,0,1,0,2,2,3,1,1,1,0,0,1,0,0,1,0,0,0,0
19,2,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,2,2,2,1,0,2,0,1,1,0,0,0,0,0,0
20,0,0,0,0,0,2,2,0,0,0,2,1,0,1,0,2,1,2,0,1,0,0,1,0,1,0,0,0,0,1,0
21,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,2,2,3,1,1,0,0,0,2,0,1,0,1,0,0,1
22,3,0,0,0,0,0,0,1,0,0,0,1,0,1,1,2,0,1,1,3,1,1,0,1,1,0,0,0,0,0,0
23,1,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
24,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,2,0,0,0,2,1,0,0,1,1,0,0,0,0
25,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
27,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
