,0,1,2,3,4,5,6,7,8,9
+2+2,525.0,496.0,646.0,723.0,581.0,713.0,616.0,601.0,824.0,816.0
+2+1,260.0,297.0,384.0,355.0,287.0,340.0,384.0,329.0,392.0,389.0
+1+2,236.0,222.0,294.0,376.0,291.0,409.0,351.0,340.0,415.0,414.0
+1+1,669.0,674.0,946.0,1038.0,915.0,1014.0,903.0,852.0,1025.0,1038.0
+2+0,227.0,218.0,255.0,275.0,370.0,300.0,321.0,268.0,384.0,357.0
+0+2,158.0,173.0,230.0,254.0,309.0,342.0,331.0,299.0,390.0,434.0
+1+0,1145.0,1035.0,1488.0,1435.0,1690.0,1498.0,1392.0,1401.0,1596.0,1540.0
+0+1,824.0,905.0,1222.0,1295.0,1432.0,1425.0,1461.0,1338.0,1552.0,1499.0
+0+0,57792.0,59635.0,108351.0,97565.0,113966.0,105684.0,93933.0,88623.0,115842.0,115368.0
+0-1,165.0,179.0,205.0,246.0,288.0,245.0,244.0,218.0,239.0,245.0
-1+0,184.0,171.0,174.0,257.0,245.0,218.0,237.0,221.0,206.0,207.0
+0-2,91.0,64.0,89.0,97.0,128.0,108.0,114.0,110.0,138.0,131.0
-2+0,61.0,72.0,65.0,81.0,103.0,112.0,109.0,94.0,104.0,129.0
-1-1,22.0,13.0,14.0,24.0,28.0,27.0,29.0,16.0,20.0,29.0
-1-2,9.0,10.0,9.0,19.0,16.0,17.0,15.0,14.0,13.0,20.0
-2-1,8.0,13.0,12.0,17.0,19.0,9.0,18.0,8.0,9.0,17.0
-2-2,15.0,12.0,13.0,17.0,23.0,14.0,16.0,15.0,24.0,16.0
-1+1,20.0,24.0,17.0,35.0,29.0,23.0,25.0,16.0,17.0,38.0
+1-1,28.0,20.0,34.0,39.0,33.0,38.0,35.0,39.0,26.0,33.0
-2+1,16.0,7.0,5.0,20.0,13.0,11.0,13.0,4.0,12.0,16.0
+1-2,9.0,12.0,14.0,12.0,7.0,12.0,15.0,9.0,15.0,6.0
-1+2,5.0,2.0,2.0,7.0,4.0,5.0,3.0,4.0,4.0,4.0
+2-1,6.0,3.0,8.0,2.0,3.0,5.0,6.0,5.0,6.0,5.0
-2+2,3.0,0.0,2.0,3.0,4.0,3.0,3.0,2.0,1.0,2.0
+2-2,3.0,4.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,7.0
