,+2+2,+2+1,+1+2,+1+1,+2+0,+0+2,+1+0,+0+1,+0+0,+0-1,-1+0,+0-2,-2+0,-1-1,-1-2,-2-1,-2-2,-1+1,+1-1,-2+1,+1-2,-1+2,+2-1,-2+2,+2-2
+2+2,2436,404,364,231,270,251,134,119,127,11,13,15,6,2,2,1,8,7,4,2,4,0,8,2,6
+2+1,435,557,106,388,196,60,193,183,188,11,3,5,5,4,1,0,1,2,11,1,6,0,4,2,1
+1+2,372,99,543,386,58,198,185,187,192,9,5,3,5,1,5,3,5,10,3,3,1,3,0,1,2
+1+1,285,380,365,1819,121,113,1030,943,1046,31,23,14,14,5,3,7,5,14,30,11,4,1,3,0,1
+2+0,229,166,60,123,311,47,321,71,419,9,9,3,4,1,0,0,1,1,11,1,8,2,2,0,3
+0+2,225,47,132,107,36,297,68,317,433,7,3,4,2,0,0,2,2,7,2,3,1,6,0,6,0
+1+0,140,223,173,910,284,84,2741,505,4084,80,61,29,26,4,5,10,5,12,40,2,7,1,1,0,2
+0+1,134,171,216,809,72,244,478,2374,3662,80,61,48,19,4,6,5,4,31,9,17,4,6,2,1,1
+0+0,263,309,300,1551,504,569,4288,4068,589513,884,850,306,295,57,26,25,24,43,62,21,26,4,3,2,5
+0-1,5,3,6,27,3,2,72,59,883,212,24,68,15,18,3,4,6,1,15,1,0,0,1,0,1
-1+0,1,7,6,31,2,3,62,56,865,27,179,18,59,13,10,5,8,6,2,0,1,0,0,1,0
+0-2,2,5,1,9,0,4,19,23,327,78,12,116,5,8,15,2,3,0,5,0,3,0,0,0,0
-2+0,0,2,1,4,3,0,23,14,256,6,64,5,96,3,1,7,16,4,0,2,1,0,0,0,0
-1-1,0,0,2,1,0,1,8,5,52,18,16,7,5,7,3,0,3,0,1,1,1,0,0,0,0
-1-2,1,0,4,2,0,2,4,3,24,10,9,12,2,3,4,0,3,1,0,0,0,0,0,0,0
-2-1,1,1,0,3,0,0,6,4,28,1,6,3,8,4,3,6,5,1,1,0,0,0,0,0,0
-2-2,1,1,2,3,0,1,2,2,25,6,4,7,12,4,6,6,12,1,1,3,0,0,0,0,0
-1+1,3,2,4,15,1,2,4,43,41,0,7,2,3,1,0,1,1,8,0,4,0,2,0,0,0
+1-1,3,4,4,30,4,3,48,13,58,19,2,11,0,2,0,0,1,1,18,0,2,0,0,0,0
-2+1,1,0,3,3,0,1,4,9,25,1,8,2,1,0,0,0,0,5,1,5,0,0,0,0,0
+1-2,4,2,2,5,2,1,15,0,24,3,2,4,0,2,0,1,0,0,1,0,2,0,1,0,1
-1+2,1,0,1,0,0,6,2,2,7,0,2,0,1,1,0,0,0,1,0,2,0,1,0,0,0
+2-1,7,2,0,3,2,1,3,2,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
-2+2,1,1,0,0,1,4,0,1,2,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0
+2-2,3,4,0,0,1,0,3,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0
