,0,1,2,3,4,5,6,7,8,9
+2+2,0.0007303472112342168,0.000690463613179154,0.00044277596583158356,0.0005143231754431777,0.00039815706779631034,0.00047288236360890437,0.0004920304000827231,0.0005153958258765087,0.0004642254749023446,0.00046384189650799614
+2+1,0.0005150663827670464,0.0005351244670192836,0.0003417689459797092,0.00036103726658233485,0.0002801804100738073,0.0003270925677912289,0.0003889292371711693,0.00038188053374588703,0.00032075486334987133,0.00032081800305769245
+1+2,0.0004908132463051144,0.0004629216946889039,0.0002991657493212024,0.00037152484339933846,0.0002821214480742384,0.00035864050097242557,0.00037190331315491046,0.00038818947202913756,0.0003299997503164296,0.0003309327392209953
+1+1,0.0008234884170489434,0.0008037535283856238,0.0005351066207930997,0.0006153235806501462,0.0004989680159178673,0.0005631735362733834,0.0005948686704528192,0.0006128359959175465,0.0005173333860292719,0.0005226703841774311
+2+0,0.0004813983499083351,0.0004587465983464314,0.0002786650150686321,0.00031788602119853785,0.0003180153310444295,0.00030730471338486035,0.0003557082955035149,0.00034477605125740737,0.00031747531823656026,0.00030737944008212036
+0+2,0.0004018470243643807,0.0004088087542749194,0.00026468162793390573,0.0003055384125547847,0.0002906942282031555,0.0003280502712144047,0.00036118841635026695,0.00036411124366512467,0.00031993816875817673,0.00033880431133531035
+1+0,0.0010731699576091308,0.000993177345581967,0.0006695100636731804,0.0007220936677059173,0.0006759227076235433,0.0006830225461914043,0.0007367648257167454,0.0007835582501758178,0.0006440331777830726,0.0006353194866065219
+0+1,0.0009127731128171539,0.000929665984767952,0.0006074378342764987,0.000686432925762859,0.0006228666741673761,0.0006663911609053471,0.0007545417192373874,0.0007659962645108995,0.0006352083171358119,0.0006269112525561596
+0+0,0.002108055383232147,0.002039211174583235,0.0013306890198562685,0.0015124811245643278,0.0013282656358005673,0.0014289361005713854,0.001566317064076907,0.0016062955869259935,0.0013544943744940568,0.00135790171570865
+0-1,0.0004106291673684946,0.000415818033906449,0.0002499103943643184,0.0003006998596831976,0.00028066694019331133,0.00027777808773341153,0.0003102437952665597,0.0003110374825378944,0.00025061058349470737,0.00025475478522267025
-1+0,0.00043356130626707675,0.00040644517032094985,0.00023027188264329097,0.0003073330413978077,0.00025891399986545057,0.0002620567655370552,0.00030577185917455836,0.0003131653708635752,0.00023269781777940593,0.00023420265938494652
+0-2,0.0003051309260003959,0.0002488605920809874,0.00016474896845411626,0.00018895681978430614,0.00018723547757945548,0.00018454041601131268,0.00021219824721597285,0.00022106936159843921,0.00019051019015121733,0.00018637039137506413
-2+0,0.0002498819219936957,0.0002639400711759064,0.00014080884390863874,0.00017268419334660456,0.00016797581540139216,0.0001879234192143474,0.0002074977647696606,0.00020437737578669684,0.00016540753728432333,0.00018494375286315303
-1-1,0.0001501125117368555,0.00011220449589997816,6.536331084112338e-05,9.402309588691739e-05,8.760765754118489e-05,9.2303429046666e-05,0.00010707103830328808,8.435437181923772e-05,7.256073711876999e-05,8.772448178454957e-05
-1-2,9.602227642114377e-05,9.841215048237239e-05,5.2408383472961064e-05,8.365967034725929e-05,6.622845461990002e-05,7.324529065727949e-05,7.701031111267236e-05,7.890712182356803e-05,5.850199793810074e-05,7.285388792837964e-05
-2-1,9.053139497021752e-05,0.00011220449589997816,6.0515195626825414e-05,7.913488543119896e-05,7.216988883016251e-05,5.3295670931375585e-05,8.435931075522001e-05,5.9650064685606575e-05,4.867739452625371e-05,6.716878671589634e-05
-2-2,0.00012395827272196935,0.00010780343161609692,6.29859374696503e-05,7.913488543119896e-05,7.940282635150661e-05,6.646990398238895e-05,7.953551185151837e-05,8.167620002355448e-05,7.948501502268697e-05,6.516356012182059e-05
-1+1,0.00014312895563030713,0.00015244283693881196,7.202591663901551e-05,0.00011353768048764182,8.915798677512828e-05,8.519372124077958e-05,9.941494075647464e-05,8.435437181923772e-05,6.689850843030129e-05,0.00010041479050073229
+1-1,0.00016934161848364615,0.00013916496686019737,0.00010185246383268727,0.00011984777063429518,9.510668215847419e-05,0.00010949808585795067,0.0001176234948461377,0.00013168224613197392,8.27299552767149e-05,9.357755744552088e-05
-2+1,0.00012802252881716163,8.233943465805595e-05,3.906358516118475e-05,8.583259876029445e-05,5.969826371341092e-05,5.892005770946367e-05,7.169341093875796e-05,4.21798548731561e-05,5.620712957479566e-05,6.516356012182059e-05
+1-2,9.602227642114377e-05,0.00010780343161609692,6.536331084112338e-05,6.648819788309652e-05,4.3807637381266306e-05,6.153971985284818e-05,7.701031111267236e-05,6.326811423830975e-05,6.284071642775683e-05,3.990599350926328e-05
-1+2,7.157307039873948e-05,4.401399153027879e-05,2.470630426112811e-05,5.078241846816139e-05,3.3115872424039936e-05,3.972495349151695e-05,3.444211293760495e-05,4.21798548731561e-05,3.2452254607572805e-05,3.258337269193575e-05
+2-1,7.840374285616544e-05,5.39054909520563e-05,4.94113136142997e-05,2.714499577104337e-05,2.8679305510391234e-05,3.972495349151695e-05,4.870777676282464e-05,4.7158262729942326e-05,3.9745409919056123e-05,3.6429169756378726e-05
-2+2,5.544114931609494e-05,0.0,2.470630426112811e-05,3.324553481667868e-05,3.3115872424039936e-05,3.077109000737469e-05,3.444211293760495e-05,2.9825975939032604e-05,1.6226324777603062e-05,2.3040111472411108e-05
+2-2,5.544114931609494e-05,6.22442150878111e-05,2.470630426112811e-05,3.838845273219617e-05,2.341665182888376e-05,3.077109000737469e-05,2.8122007261369585e-05,4.21798548731561e-05,2.2947395478284573e-05,4.310322380574914e-05
