motif,0,1,2,3,4,5,6,7,8,9
+1+1+1+1+1+1,3.639697948526754e-06,3.6708198684609525e-06,1.7784717746500193e-06,2.4310669506342228e-06,1.6872343431021268e-06,1.9155502082256476e-06,2.0195926933900627e-06,2.1376253795757494e-06,1.7370485121199124e-06,1.758764003886902e-06
+2+1+1+1+1+1,4.613549240841525e-06,4.461426943654604e-06,2.338531120975334e-06,2.8775771357994407e-06,2.027515411338961e-06,2.411433498970068e-06,2.7545330942791232e-06,2.9734172106109214e-06,2.198961599482477e-06,2.318182891732767e-06
+2+1+1+1+1+2,1.967255402862022e-06,1.921900506470601e-06,1.0932409056198788e-06,1.081307545676148e-06,7.310375253742438e-07,9.627392788482373e-07,1.1936945257081704e-06,1.3361465164739587e-06,9.73531421668391e-07,9.794435414769657e-07
+2+1+1+2+1+1,1.659435517614149e-06,1.6746587340601923e-06,8.721054091036636e-07,1.2072806846794558e-06,8.046521062441767e-07,1.1211521139463387e-06,1.230431948286962e-06,1.4651256057764886e-06,9.534565465644445e-07,9.43815575992319e-07
+2+1+1+2+2+1,0.0,3.6987118248661806e-07,1.098751409114345e-07,3.7967319566399734e-07,1.4336843579542482e-07,2.2536065733646825e-07,3.2690751638638705e-07,4.123449092345231e-07,1.9668350310233523e-07,1.978779372135255e-07
+2+1+2+1+1+1,2.7280834638863836e-06,2.5890820257807203e-06,1.4535045434240742e-06,1.5081030825413243e-06,1.1105238072499739e-06,1.5694469686460929e-06,1.7553750153931013e-06,2.014788348483465e-06,1.3555412989596778e-06,1.4096563758429709e-06
+2+1+2+1+2+1,2.0954865295201746e-06,2.264978358134227e-06,1.109681449583454e-06,1.2072806846794558e-06,8.298034478887061e-07,1.160111654712554e-06,1.3805104749576184e-06,1.5080160558656453e-06,1.017252411947659e-06,1.0838189887040277e-06
+2+2+1+1+1+1,5.183266311032679e-06,4.626992923591375e-06,2.296862314593598e-06,3.186579249337739e-06,2.2302622043277503e-06,2.5595681178540022e-06,2.9421205278681438e-06,3.030057051440014e-06,2.4268343063940414e-06,2.574272299459054e-06
+2+2+1+2+1+1,3.4182654937281074e-06,2.9704807802276244e-06,1.514516436139969e-06,2.195674299287119e-06,1.3751353846165134e-06,1.7456245402340737e-06,1.9154904589339424e-06,1.9882422500581103e-06,1.7342625890322971e-06,1.6045101573381632e-06
+2+2+1+2+1+2,2.8482010061697786e-06,2.397026373653747e-06,1.1985923957211654e-06,1.4206017582795793e-06,9.29131725776078e-07,1.33324652090093e-06,1.5903454932003402e-06,1.5633739465111317e-06,1.3193873398921704e-06,1.3956991763447973e-06
+2+2+2+1+1+1,4.621607533059255e-06,3.9835746420006e-06,1.906246739913969e-06,2.467035411752789e-06,1.7791417013732656e-06,2.233776003252188e-06,2.598145574773741e-06,2.7928203048186295e-06,2.012984911131601e-06,2.2539564750916012e-06
+2+2+2+1+1+2,2.1481006348404775e-06,1.7150175218435972e-06,8.295378463920959e-07,1.081307545676148e-06,6.082602348140491e-07,9.427495149449846e-07,1.1936945257081704e-06,1.3361465164739587e-06,1.0772768410713615e-06,1.0563762357657729e-06
+2+2+2+1+2+1,2.7416897626166725e-06,2.7801713762174e-06,1.445175015304339e-06,1.5756237769290554e-06,1.1012306134362162e-06,1.5284625929633497e-06,1.6722334988668103e-06,1.889590739860327e-06,1.2859799908572377e-06,1.5037336911170329e-06
+2+2+2+2+1+1,3.639697948526754e-06,2.935737695613859e-06,1.5538606505254783e-06,2.129012129502699e-06,1.5307472399854961e-06,1.8549383663481175e-06,1.7604409845495602e-06,1.9828903819341624e-06,1.6833276750964378e-06,1.8562436122742186e-06
+2+2+2+2+2+1,4.407305321832118e-06,4.1103330904821284e-06,1.9094105846450653e-06,2.5437471374347457e-06,1.5672377752691707e-06,2.1791111330377714e-06,2.3985343843393487e-06,2.624116710832247e-06,2.259692298557777e-06,2.243073267983884e-06
+2+2+2+2+2+2,4.0647189914980505e-06,3.5185984121919557e-06,1.6914953283301428e-06,2.0987048918288666e-06,1.5407849172066112e-06,1.9320493812681395e-06,2.1227847668236686e-06,2.2678776589818594e-06,1.9520093154791764e-06,1.9613697601135604e-06
-1+1+1+1+1+1,1.4175608077977748e-06,1.4561815404821046e-06,6.215471285102206e-07,8.676350536752278e-07,5.459303652033257e-07,6.570330206987139e-07,6.400486010017236e-07,7.142019165534495e-07,4.397975099876293e-07,6.335179281252061e-07
-1+1+1+1+1+2,8.184301187189644e-07,5.848175740444696e-07,2.1975026371404686e-07,4.0021067560854867e-07,1.7558975200969853e-07,2.519608675314288e-07,3.531004625622942e-07,3.571011925484722e-07,1.9668350310233523e-07,1.3992083817270302e-07
-1+1+1+1+1-1,4.7252104271825537e-07,3.6987118248661806e-07,1.9030931609226113e-07,1.7897970049892065e-07,1.0137679572836696e-07,1.126803381908793e-07,1.8874016777495876e-07,0.0,9.834175880449455e-08,1.713673247141029e-07
-1+1+1+1+2+1,1.091239637313645e-06,8.270566743436047e-07,3.644145160903662e-07,3.3484030625636553e-07,3.7931711160909757e-07,5.039215221299784e-07,4.426347958055615e-07,5.646263765997123e-07,3.6796105065481837e-07,4.946945860745336e-07
-1+1+1+1+2+2,1.3640487093550336e-06,8.674243012734695e-07,4.111149858072256e-07,5.936081360160972e-07,4.0550702875460614e-07,4.3640890114671967e-07,5.16886012792278e-07,3.571011925484722e-07,3.5457614927993687e-07,4.424683437472761e-07
-1+1+1+2+1+1,8.627010347728217e-07,9.059950752699384e-07,3.9616032387041866e-07,4.5631033387894357e-07,3.5117942391610485e-07,4.911619580484892e-07,4.003782640378667e-07,5.256385888408646e-07,2.408870998672827e-07,3.70195631160293e-07
-1+1+1+2+1+2,8.627010347728217e-07,4.5299780420693086e-07,2.1975026371404686e-07,3.1000189555443086e-07,2.0275357604085008e-07,3.903360205674412e-07,3.2690751638638705e-07,2.0617249970286393e-07,2.1989883608849519e-07,2.423499767748794e-07
-1+1+1+2+2+1,4.7252104271825537e-07,6.919653948333126e-07,2.1975026371404686e-07,2.8299172739457377e-07,1.7558975200969853e-07,1.9516805976484332e-07,1.334594569688172e-07,2.525087024300073e-07,1.3907624562968888e-07,2.6176788648242947e-07
-1+1+1+2+2+2,8.627010347728217e-07,6.406355127714703e-07,1.9030931609226113e-07,3.7967319566399734e-07,1.7558975200969853e-07,2.9812410211061634e-07,3.2690751638638705e-07,4.610155900073584e-07,2.601877989083892e-07,2.6176788648242947e-07
-1+1+1-1+1+1,2.72810188423857e-07,2.615384384023672e-07,0.0,0.0,0.0,1.126803381908793e-07,0.0,0.0,0.0,9.893897594845429e-08
-1+1+1-1+2+1,2.72810188423857e-07,0.0,0.0,0.0,0.0,0.0,1.334594569688172e-07,0.0,0.0,0.0
-1+1+2+1+1+1,6.682455303905844e-07,4.5299780420693086e-07,3.806185380883094e-07,4.3840880182832947e-07,3.6551912397533393e-07,3.903360205674412e-07,4.623169507644117e-07,5.050172392049187e-07,3.6796105065481837e-07,3.5672944504065736e-07
-1+1+2+1+1+2,0.0,4.5299780420693086e-07,0.0,0.0,0.0,1.5935405799331065e-07,2.3115854479539366e-07,1.4578597794746506e-07,1.703329143796481e-07,1.3992083817270302e-07
-1+1+2+1+1-1,0.0,2.615384384023672e-07,0.0,2.53115503818178e-07,2.483213898253185e-07,1.126803381908793e-07,1.8874016777495876e-07,2.525087024300073e-07,0.0,9.893897594845429e-08
-1+1+2+1+2+1,4.7252104271825537e-07,4.5299780420693086e-07,1.553869101763154e-07,1.7897970049892065e-07,2.483213898253185e-07,3.737182977526867e-07,2.984243781949159e-07,4.373578063210545e-07,1.703329143796481e-07,3.2814337919755927e-07
-1+1+2+1+2+2,4.7252104271825537e-07,3.6987118248661806e-07,1.098751409114345e-07,2.8299172739457377e-07,2.483213898253185e-07,2.2536065733646825e-07,3.531004625622942e-07,2.0617249970286393e-07,0.0,2.7984163481452445e-07
-1+1+2+1-1+1,0.0,2.615384384023672e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.893897594845429e-08
-1+1+2+2+1+1,1.4435731690855978e-06,1.1696340009454885e-06,5.035108736036961e-07,6.069492912575774e-07,5.068836703240762e-07,6.068017130585747e-07,4.623169507644117e-07,6.519742622317653e-07,3.261626349895846e-07,5.141016689538281e-07
-1+1+2+2+1+2,7.217876183274317e-07,5.230767742011721e-07,1.098751409114345e-07,2.8299172739457377e-07,1.4336843579542482e-07,3.1870806211840174e-07,2.669188872204904e-07,3.259873093324229e-07,9.834175880449455e-08,3.5672944504065736e-07
-1+1+2+2+1-1,4.7252104271825537e-07,2.615384384023672e-07,1.098751409114345e-07,2.1920446333374757e-07,1.7558975200969853e-07,1.5935405799331065e-07,1.334594569688172e-07,2.0617249970286393e-07,1.3907624562968888e-07,9.893897594845429e-08
-1+1+2+2+2+1,5.456202652095814e-07,4.5299780420693086e-07,2.1975026371404686e-07,3.57959333044012e-07,2.682177494232577e-07,4.2161106533733984e-07,4.623169507644117e-07,4.123449092345231e-07,2.601877989083892e-07,3.12872443712327e-07
-1+1+2+2+2+2,8.184301187189644e-07,5.230767742011721e-07,1.9030931609226113e-07,3.1000189555443086e-07,2.483213898253185e-07,4.0627459974627934e-07,2.669188872204904e-07,4.835172123215786e-07,1.703329143796481e-07,2.7984163481452445e-07
-1+1+2+2-1+1,0.0,0.0,1.098751409114345e-07,0.0,0.0,0.0,1.334594569688172e-07,1.4578597794746506e-07,0.0,1.713673247141029e-07
-1+1-1+1+1+1,2.72810188423857e-07,0.0,0.0,3.3484030625636553e-07,0.0,2.519608675314288e-07,1.334594569688172e-07,3.259873093324229e-07,9.834175880449455e-08,1.3992083817270302e-07
-1+1-1+1+2+1,0.0,0.0,1.098751409114345e-07,1.2655776392174144e-07,1.7558975200969853e-07,1.126803381908793e-07,2.984243781949159e-07,2.525087024300073e-07,1.703329143796481e-07,1.978779372135255e-07
-1+1-1+1+2+2,2.72810188423857e-07,6.406355127714703e-07,2.4568825712029716e-07,3.3484030625636553e-07,1.4336843579542482e-07,1.5935405799331065e-07,2.669188872204904e-07,4.610155900073584e-07,1.9668350310233523e-07,1.713673247141029e-07
-1+1-1+1-1+1,0.0,0.0,0.0,0.0,0.0,0.0,1.8874016777495876e-07,0.0,0.0,0.0
-1+2+1+1+1+1,3.858118421092197e-07,3.6987118248661806e-07,3.2962535029901003e-07,4.0021067560854867e-07,2.0275357604085008e-07,2.2536065733646825e-07,2.669188872204904e-07,3.259873093324229e-07,1.703329143796481e-07,1.713673247141029e-07
-1+2+1+1+1+2,0.0,2.615384384023672e-07,1.553869101763154e-07,0.0,0.0,1.126803381908793e-07,0.0,0.0,0.0,0.0
-1+2+1+1+1-1,0.0,0.0,1.098751409114345e-07,1.2655776392174144e-07,0.0,0.0,1.334594569688172e-07,0.0,0.0,0.0
-1+2+1+1+2+1,7.217876183274317e-07,2.615384384023672e-07,2.9070225020839264e-07,3.1000189555443086e-07,2.483213898253185e-07,2.519608675314288e-07,0.0,2.0617249970286393e-07,1.703329143796481e-07,2.6176788648242947e-07
-1+2+1+1+2+2,5.456202652095814e-07,0.0,2.6913799368493573e-07,2.1920446333374757e-07,1.0137679572836696e-07,1.5935405799331065e-07,0.0,0.0,2.9502521838686454e-07,1.713673247141029e-07
-1+2+1+1+2-1,2.72810188423857e-07,0.0,1.098751409114345e-07,0.0,1.0137679572836696e-07,0.0,0.0,0.0,0.0,0.0
-1+2+1+1-1+1,2.72810188423857e-07,0.0,0.0,0.0,0.0,0.0,1.334594569688172e-07,0.0,0.0,0.0
-1+2+1+2+1+1,0.0,0.0,0.0,1.2655776392174144e-07,1.4336843579542482e-07,1.126803381908793e-07,1.8874016777495876e-07,1.4578597794746506e-07,9.834175880449455e-08,9.893897594845429e-08
-1+2+1+2+1+2,4.7252104271825537e-07,0.0,0.0,0.0,0.0,0.0,1.8874016777495876e-07,0.0,9.834175880449455e-08,0.0
-1+2+1+2+1-1,0.0,0.0,1.098751409114345e-07,1.2655776392174144e-07,0.0,0.0,0.0,0.0,0.0,0.0
-1+2+1+2+2+1,3.858118421092197e-07,0.0,2.6913799368493573e-07,1.7897970049892065e-07,1.0137679572836696e-07,1.5935405799331065e-07,1.8874016777495876e-07,1.4578597794746506e-07,1.703329143796481e-07,2.2123425395626512e-07
-1+2+1+2+2+2,3.858118421092197e-07,0.0,3.1077376913314356e-07,1.2655776392174144e-07,0.0,0.0,2.3115854479539366e-07,1.4578597794746506e-07,2.1989883608849519e-07,1.978779372135255e-07
-1+2+1-1+1+2,3.858118421092197e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1+2+2+1+1+1,2.72810188423857e-07,2.615384384023672e-07,1.098751409114345e-07,1.2655776392174144e-07,1.7558975200969853e-07,1.126803381908793e-07,1.8874016777495876e-07,0.0,1.3907624562968888e-07,0.0
-1+2+2+1+1+2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.834175880449455e-08,0.0
-1+2+2+1+1-1,0.0,0.0,0.0,1.2655776392174144e-07,1.0137679572836696e-07,0.0,1.334594569688172e-07,0.0,0.0,9.893897594845429e-08
-1+2+2+1+2+1,0.0,3.6987118248661806e-07,1.9030931609226113e-07,1.7897970049892065e-07,1.0137679572836696e-07,1.5935405799331065e-07,0.0,2.0617249970286393e-07,0.0,2.2123425395626512e-07
-1+2+2+1+2+2,3.858118421092197e-07,3.6987118248661806e-07,0.0,1.7897970049892065e-07,0.0,1.126803381908793e-07,2.3115854479539366e-07,1.4578597794746506e-07,9.834175880449455e-08,0.0
-1+2+2+1+2-1,0.0,0.0,1.098751409114345e-07,0.0,0.0,1.5935405799331065e-07,0.0,1.4578597794746506e-07,0.0,0.0
-1+2+2+2+1+1,3.858118421092197e-07,0.0,1.553869101763154e-07,1.7897970049892065e-07,1.4336843579542482e-07,0.0,0.0,1.4578597794746506e-07,2.1989883608849519e-07,0.0
-1+2+2+2+1+2,2.72810188423857e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1+2+2+2+1-1,0.0,0.0,1.553869101763154e-07,0.0,0.0,0.0,1.8874016777495876e-07,0.0,0.0,0.0
-1+2+2+2+2+1,4.7252104271825537e-07,2.615384384023672e-07,2.1975026371404686e-07,1.2655776392174144e-07,2.2668538360909576e-07,1.9516805976484332e-07,2.3115854479539366e-07,3.259873093324229e-07,2.1989883608849519e-07,1.713673247141029e-07
-1+2+2+2+2+2,5.456202652095814e-07,5.848175740444696e-07,1.553869101763154e-07,3.1000189555443086e-07,0.0,1.5935405799331065e-07,2.669188872204904e-07,2.0617249970286393e-07,1.9668350310233523e-07,0.0
-1+2+2+2+2-1,0.0,0.0,1.553869101763154e-07,0.0,0.0,1.9516805976484332e-07,0.0,0.0,0.0,0.0
-1+2-1+1+1+1,0.0,0.0,1.098751409114345e-07,0.0,1.0137679572836696e-07,1.5935405799331065e-07,1.334594569688172e-07,1.4578597794746506e-07,1.3907624562968888e-07,9.893897594845429e-08
-1+2-1+1+1+2,0.0,0.0,0.0,0.0,0.0,1.126803381908793e-07,0.0,0.0,0.0,0.0
-1+2-1+1+2+1,0.0,2.615384384023672e-07,0.0,0.0,0.0,0.0,0.0,1.4578597794746506e-07,0.0,1.3992083817270302e-07
-1+2-1+1+2+2,2.72810188423857e-07,3.6987118248661806e-07,0.0,1.7897970049892065e-07,0.0,0.0,1.8874016777495876e-07,2.525087024300073e-07,0.0,0.0
-1+2-1+2+2+2,0.0,0.0,1.098751409114345e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1-1+1+1+1+1,6.100219598499625e-07,5.848175740444696e-07,0.0,3.3484030625636553e-07,2.483213898253185e-07,3.737182977526867e-07,3.2690751638638705e-07,3.259873093324229e-07,1.9668350310233523e-07,3.70195631160293e-07
-1-1+1+2+1+1,6.100219598499625e-07,5.230767742011721e-07,0.0,2.1920446333374757e-07,1.4336843579542482e-07,2.519608675314288e-07,2.984243781949159e-07,2.0617249970286393e-07,1.703329143796481e-07,2.423499767748794e-07
-1-1+1+2+1+2,2.72810188423857e-07,0.0,0.0,0.0,0.0,0.0,1.8874016777495876e-07,2.0617249970286393e-07,0.0,9.893897594845429e-08
-1-1+1-1+1+1,0.0,0.0,0.0,0.0,1.0137679572836696e-07,1.5935405799331065e-07,0.0,0.0,0.0,9.893897594845429e-08
-1-1+1-1+1+2,0.0,0.0,0.0,0.0,0.0,0.0,1.334594569688172e-07,0.0,9.834175880449455e-08,0.0
-1-1+2+1+1+1,3.858118421092197e-07,5.230767742011721e-07,0.0,3.3484030625636553e-07,2.682177494232577e-07,2.519608675314288e-07,2.669188872204904e-07,2.9157192401459787e-07,2.408870998672827e-07,2.7984163481452445e-07
-1-1+2+1+1+2,2.72810188423857e-07,0.0,0.0,0.0,1.0137679572836696e-07,1.126803381908793e-07,2.3115854479539366e-07,1.4578597794746506e-07,0.0,1.3992083817270302e-07
-1-1+2+1+1-1,0.0,0.0,0.0,0.0,1.0137679572836696e-07,0.0,1.8874016777495876e-07,0.0,0.0,0.0
-1-1+2+1+2+1,2.72810188423857e-07,0.0,0.0,0.0,1.0137679572836696e-07,0.0,0.0,0.0,9.834175880449455e-08,1.713673247141029e-07
-1-1+2+2+1+1,8.184301187189644e-07,2.615384384023672e-07,1.098751409114345e-07,3.57959333044012e-07,1.4336843579542482e-07,2.760092937358612e-07,2.984243781949159e-07,2.0617249970286393e-07,1.9668350310233523e-07,3.2814337919755927e-07
-1-1+2+2+1+2,6.100219598499625e-07,0.0,0.0,0.0,1.0137679572836696e-07,1.9516805976484332e-07,1.334594569688172e-07,0.0,1.3907624562968888e-07,2.423499767748794e-07
-1-1+2+2+1-1,0.0,0.0,0.0,0.0,1.0137679572836696e-07,1.5935405799331065e-07,0.0,0.0,0.0,9.893897594845429e-08
-1-1+2+2+2+1,0.0,2.615384384023672e-07,0.0,1.2655776392174144e-07,1.7558975200969853e-07,0.0,2.3115854479539366e-07,2.0617249970286393e-07,1.3907624562968888e-07,2.423499767748794e-07
-1-1+2+2+2+2,2.72810188423857e-07,2.615384384023672e-07,1.098751409114345e-07,0.0,2.0275357604085008e-07,1.126803381908793e-07,1.334594569688172e-07,0.0,9.834175880449455e-08,2.7984163481452445e-07
-1-1+2-1+1+1,0.0,0.0,0.0,0.0,0.0,1.5935405799331065e-07,0.0,0.0,0.0,0.0
-1-1+2-1+2+2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.893897594845429e-08
-1-1-1+1+1+1,0.0,4.5299780420693086e-07,1.098751409114345e-07,1.2655776392174144e-07,1.4336843579542482e-07,0.0,1.334594569688172e-07,1.4578597794746506e-07,0.0,1.3992083817270302e-07
-1-1-1+1+1+2,0.0,2.615384384023672e-07,0.0,1.2655776392174144e-07,0.0,0.0,0.0,0.0,1.3907624562968888e-07,0.0
-1-1-1+1+2+1,0.0,0.0,1.098751409114345e-07,0.0,0.0,0.0,1.334594569688172e-07,0.0,0.0,0.0
-1-1-1+1+2+2,3.858118421092197e-07,0.0,1.098751409114345e-07,1.2655776392174144e-07,1.7558975200969853e-07,1.5935405799331065e-07,1.8874016777495876e-07,0.0,0.0,2.2123425395626512e-07
-1-1-1+1-1+1,0.0,0.0,0.0,0.0,1.0137679572836696e-07,0.0,0.0,0.0,0.0,0.0
-1-1-1+2+1+2,0.0,0.0,0.0,1.2655776392174144e-07,0.0,0.0,0.0,0.0,0.0,0.0
-1-1-1+2+2+1,2.72810188423857e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1-1-1+2+2+2,0.0,0.0,0.0,0.0,0.0,1.126803381908793e-07,0.0,0.0,0.0,0.0
-1-1-1+2-1+1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4578597794746506e-07,0.0,0.0
-1-1-1-1+1+1,3.858118421092197e-07,3.6987118248661806e-07,1.098751409114345e-07,0.0,1.4336843579542482e-07,0.0,1.334594569688172e-07,1.4578597794746506e-07,0.0,0.0
