motif,0,1,2,3,4,5,6,7,8,9
+1+1+1+1+1+1,178.0,197.0,262.0,369.0,277.0,289.0,229.0,215.0,312.0,316.0
+2+1+1+1+1+1,286.0,291.0,453.0,517.0,400.0,458.0,426.0,416.0,500.0,549.0
+2+1+1+1+1+2,52.0,54.0,99.0,73.0,52.0,73.0,80.0,84.0,98.0,98.0
+2+1+1+2+1+1,37.0,41.0,63.0,91.0,63.0,99.0,85.0,101.0,94.0,91.0
+2+1+1+2+2+1,0.0,2.0,1.0,9.0,2.0,4.0,6.0,8.0,4.0,4.0
+2+1+2+1+1+1,100.0,98.0,175.0,142.0,120.0,194.0,173.0,191.0,190.0,203.0
+2+1+2+1+2+1,59.0,75.0,102.0,91.0,67.0,106.0,107.0,107.0,107.0,120.0
+2+2+1+1+1+1,361.0,313.0,437.0,634.0,484.0,516.0,486.0,432.0,609.0,677.0
+2+2+1+2+1+1,157.0,129.0,190.0,301.0,184.0,240.0,206.0,186.0,311.0,263.0
+2+2+1+2+1+2,109.0,84.0,119.0,126.0,84.0,140.0,142.0,115.0,180.0,199.0
+2+2+2+1+1+1,287.0,232.0,301.0,380.0,308.0,393.0,379.0,367.0,419.0,519.0
+2+2+2+1+1+2,62.0,43.0,57.0,73.0,36.0,70.0,80.0,84.0,120.0,114.0
+2+2+2+1+2+1,101.0,113.0,173.0,155.0,118.0,184.0,157.0,168.0,171.0,231.0
+2+2+2+2+1+1,178.0,126.0,200.0,283.0,228.0,271.0,174.0,185.0,293.0,352.0
+2+2+2+2+2+1,261.0,247.0,302.0,404.0,239.0,374.0,323.0,324.0,528.0,514.0
+2+2+2+2+2+2,222.0,181.0,237.0,275.0,231.0,294.0,253.0,242.0,394.0,393.0
-1+1+1+1+1+1,27.0,31.0,32.0,47.0,29.0,34.0,23.0,24.0,20.0,41.0
-1+1+1+1+1+2,9.0,5.0,4.0,10.0,3.0,5.0,7.0,6.0,4.0,2.0
-1+1+1+1+1-1,3.0,2.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,3.0
-1+1+1+1+2+1,16.0,10.0,11.0,7.0,14.0,20.0,11.0,15.0,14.0,25.0
-1+1+1+1+2+2,25.0,11.0,14.0,22.0,16.0,15.0,15.0,6.0,13.0,20.0
-1+1+1+2+1+1,10.0,12.0,13.0,13.0,12.0,19.0,9.0,13.0,6.0,14.0
-1+1+1+2+1+2,10.0,3.0,4.0,6.0,4.0,12.0,6.0,2.0,5.0,6.0
-1+1+1+2+2+1,3.0,7.0,4.0,5.0,3.0,3.0,1.0,3.0,2.0,7.0
-1+1+1+2+2+2,10.0,6.0,3.0,9.0,3.0,7.0,6.0,10.0,7.0,7.0
-1+1+1-1+1+1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-1+1+1-1+2+1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-1+1+2+1+1+1,6.0,3.0,12.0,12.0,13.0,12.0,12.0,12.0,14.0,13.0
-1+1+2+1+1+2,0.0,3.0,0.0,0.0,0.0,2.0,3.0,1.0,3.0,2.0
-1+1+2+1+1-1,0.0,1.0,0.0,4.0,6.0,1.0,2.0,3.0,0.0,1.0
-1+1+2+1+2+1,3.0,3.0,2.0,2.0,6.0,11.0,5.0,9.0,3.0,11.0
-1+1+2+1+2+2,3.0,2.0,1.0,5.0,6.0,4.0,7.0,2.0,0.0,8.0
-1+1+2+1-1+1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-1+1+2+2+1+1,28.0,20.0,21.0,23.0,25.0,29.0,12.0,20.0,11.0,27.0
-1+1+2+2+1+2,7.0,4.0,1.0,5.0,2.0,8.0,4.0,5.0,1.0,13.0
-1+1+2+2+1-1,3.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0
