motif,0,1,2,3,4,5,6,7,8,9
+1+1+1+1+1+1,2.4280108425688683e-05,2.5761537867041433e-05,1.4393643854773847e-05,2.334990818233937e-05,1.4040686564228791e-05,1.628230932725611e-05,1.52811083327817e-05,1.567199320054174e-05,1.5341314750674134e-05,1.5632358586518177e-05
+2+1+1+1+1+1,3.901185960532002e-05,3.8053845275680494e-05,2.488672010004791e-05,3.271518300886031e-05,2.027535965953616e-05,2.5803798172606564e-05,2.8426865282816615e-05,3.0323484518257507e-05,2.458544030556752e-05,2.7158749569615443e-05
+2+1+1+1+1+2,7.093065382785458e-06,7.061538298579885e-06,5.438819624513782e-06,4.619358529297491e-06,2.6357967557397008e-06,4.112832459825937e-06,5.33837845686697e-06,6.123011296955843e-06,4.818746299891234e-06,4.848009941388549e-06
+2+1+1+2+1+1,5.046988830058884e-06,5.361538337810654e-06,3.4610670337814975e-06,5.758378440631119e-06,3.1933691463769452e-06,5.577676897572161e-06,5.672027110421155e-06,7.362192154673097e-06,4.622062777446694e-06,4.5017235170036525e-06
+2+1+1+2+2+1,0.0,2.615384555029587e-07,5.493757196478568e-08,5.695099556668139e-07,1.013767982976808e-07,2.2536068273018834e-07,4.0037838426502274e-07,5.831439330434136e-07,1.9668352244454015e-07,1.9787795679136935e-07
+2+1+2+1+1+1,1.3640510351510496e-05,1.2815384319644978e-05,9.614075093837493e-06,8.985601522743063e-06,6.082607897860848e-06,1.0929993112414135e-05,1.1544243412974821e-05,1.39225614014115e-05,9.342467316115658e-06,1.0042306307161996e-05
+2+1+2+1+2+1,8.047901107391193e-06,9.807692081360953e-06,5.603632340408139e-06,5.758378440631119e-06,3.396122742972307e-06,5.972058092349991e-06,7.1400811860595724e-06,7.799550104455656e-06,5.261284225391449e-06,5.936338703741081e-06
+2+2+1+1+1+1,4.924224236895289e-05,4.093076828621304e-05,2.400771894861134e-05,4.011881243252889e-05,2.4533185188038753e-05,2.9071528072194296e-05,3.243064912546684e-05,3.148977238434433e-05,2.994506629218124e-05,3.3490844186939265e-05
+2+2+1+2+1+1,2.141560125187148e-05,1.6869230379940836e-05,1.0438138673309278e-05,1.9046944072856776e-05,9.326665443386634e-06,1.35216409638113e-05,1.3746324526432447e-05,1.3558096443259367e-05,1.5292143870062997e-05,1.3010475659032535e-05
+2+2+1+2+1+2,1.486815628314644e-05,1.0984615131124265e-05,6.5375710638094955e-06,7.973139379335394e-06,4.257825528502593e-06,7.887623895556592e-06,9.47562176093887e-06,8.38269403749907e-06,8.850758510004308e-06,9.844428350370625e-06
+2+2+2+1+1+1,3.9148264708835125e-05,3.033846083834321e-05,1.653620916140049e-05,2.4045975905932144e-05,1.5612026937842845e-05,2.2141687078241002e-05,2.5290567939407268e-05,2.67517279283666e-05,2.0602598976065582e-05,2.5674664893680175e-05
+2+2+2+1+1+2,8.457116417936508e-06,5.623076793313613e-06,3.1314416019927834e-06,4.619358529297491e-06,1.8247823693582545e-06,3.943811947778296e-06,5.33837845686697e-06,6.123011296955843e-06,5.9005056733362045e-06,5.639521768554027e-06
+2+2+2+1+2+1,1.37769154550256e-05,1.4776922735917167e-05,9.504199949907921e-06,9.808227014261795e-06,5.9812310995631675e-06,1.0366591405588663e-05,1.0476567721601429e-05,1.2246022593911686e-05,8.408220584504093e-06,1.142745200470158e-05
