,motif
0,+0+0+0+0+0+0
1,+0+0+0+0+0+1
2,+0+0+0+0+1+1
3,+0+0+0+0+2+1
4,+0+0+0+0+2+2
5,+0+0+0+0+0+2
6,+0+0+0+0+0-1
7,+0+0+0+0+0-2
8,+0+0+0+0-1+1
9,+0+0+0+1+0+1
10,+0+0+0+0-2-1
11,+0+0+0+1+1+1
12,+0+0+0+1+1+0
13,+0+0+0+0-2+1
14,+0+0+0+0-1-1
15,+0+0+1+0+1+0
16,+0+0+0+0-2-2
17,+0+0+0+1+2+2
18,+0+0+1+0+1+1
19,+0+0+2+2+1+0
20,+0+0+0+2+0+1
21,+0+0+0+1+1+2
22,+0+0+0+0-1+2
23,+0+0+2+0+1+0
24,+0+0+0+1+2+1
25,+0+0+2+2+1+1
26,+0+0+2+1+1+0
27,+0+0+1+1+1+1
28,+0+0+0+0-2+2
29,+0+0+0+2+1+0
30,+0+0+0-1+0+1
31,+0+0+1+0+1+2
32,+0+0-1+0+1+0
33,+0+0+0+1+2+0
34,+0+0+0+1-1+0
35,+0+0+0-1+1+0
36,+0+0+0+2+1+1
37,+0+1+0+1+0+1
38,+0+0+2+1+1+1
39,+0+0+1+2+1+1
40,+0+0+0-1+1+1
41,+0+0+0+2+2+2
42,+0+0+2+0+1+1
43,+0+0+0-2+0+1
44,+0+1+0+1+1+1
45,+0+0+0+2+1+2
46,+0+0-1+0+1+1
47,+0+1+1+1+1+1
48,+0+0-2+0+1+0
49,+0+0+2+2+1+2
50,+0+0+0-1+2+2
51,+0+0+0+1-2+0
52,+0+0+0-2+1+0
53,+0+0+2+2+2+1
54,+0+1+2+2+1+1
55,+0+0-1+0+2+2
56,+0+0+0+2+0+2
57,+0+0+2+0+2+2
58,+0+1+0+1+2+2
59,+0+1+0+1+2+1
60,+0+1+2+2+1+0
61,+0+0+2+2+2+2
62,+0+1+1+1+1+0
63,+0+0+0-2+1+1
64,+0+1+2+1+1+0
65,+0+0+0-1+0+2
66,+0+0+0+2+2+0
67,+2+2+1+1+1+1
68,+0+0+0-1+1+2
69,+0+0+0-1+0-1
70,+0+1+1+1+2+2
71,+0+0+0+2+2+1
72,+0+0+2+0+2+1
73,+0+0+0-1+2+1
74,+0+0-2+0+1+1
75,+0+0-1+0+2+0
76,+0+0+2+0+1+2
77,+0+0+2+0+2+0
78,+2+1+1+1+1+1
79,+0+0+0-2+2+2
80,+0+0+0+1-1+1
81,+0+2+0+1+0+1
82,+0+1+1+0+1+1
83,+0+1+1+2+1+1
84,+0+0+2+1+1+2
85,+0+0-1+0+1+2
86,+0+0+0+2-1+0
87,+0+0-1+0+2+1
88,+0+2+0+1+1+1
89,+0+0+1+2+1+2
90,+2+2+2+1+1+1
91,+2+2+2+2+2+1
92,+0+0+0-2+0-1
93,+0+2+0+1+2+2
94,+0+0-2+0+2+2
95,+0+0+0-1-1+0
96,+0+1+1+1+2+1
97,+0+0+0-1+2+0
98,+0+1+2+2+2+2
99,+0+2+0+1+1+0
100,+0+1+2+2+0+1
101,+0+0+0-2+0+2
102,+0+0+2+1+2+1
103,+0+1+2+1+1+1
104,+2+2+2+2+2+2
105,+1+1+1+1+1+1
106,+0+2+0+1+2+1
107,+0+0-2+0-1+0
108,+0-1+0+1+0+1
109,+0+0+0-2+1+2
110,+0+0-1+0-1+0
111,+0+1+1+2+2+2
112,+0+0-2+0+2+0
113,+2+2+2+2+1+1
114,+2+2+1+2+1+1
115,+0+1+2+2+2+1
116,+0+1+1+0+2+1
117,+0+0+0+2-2+0
118,+0+2+1+0+1+0
119,+0+1+2+2+1+2
120,+0+0+0+1-1-1
121,+0+1+1+1+1+2
122,+0+0+0+1+1-1
123,+0+0+1+0+1-1
124,+0+0+0-2+2+1
125,+0+0-2+0+1+2
126,+0+0-2+0+2+1
127,+0+1+1+2+1+2
128,+2+1+2+1+1+1
129,+0+0+0+1-2+1
130,+2+2+2+1+2+1
131,+0-1+0+1+1+1
132,+0-1+1+0+1+0
133,+0+2+2+2+2+2
134,+0+2+2+2+1+0
135,+0+0-1-1+1+0
136,+0+0+0+1-2-2
137,+0+0+0-1-2+0
138,+0+0-1+1+1+1
139,+0+0-1+1+1+0
140,+0+0+0-2+2+0
141,+0+0+0+1-1-2
142,+0+2+1+1+1+0
143,+0+2+0+2+2+2
144,+0+0+0-2+0-2
