,0,1,2,3,4,5,6,7,8,9
0,0,1,2,4,4,4,12,16,1,2
1,5,0,3,3,3,2,2,0,5,0
2,6,9,4,3,10,3,0,5,6,9
3,10,13,14,7,7,7,2,9,11,18
4,8,16,15,10,17,15,14,9,18,13
5,17,13,24,17,28,19,15,32,14,23
6,16,23,38,37,25,23,25,40,30,24
7,34,34,33,43,33,38,32,34,31,24
8,37,31,29,36,41,39,34,38,36,42
9,34,38,59,33,44,40,43,31,36,33
10,39,38,49,40,41,38,58,44,40,41
11,38,33,44,33,30,45,40,31,58,39
12,34,32,36,33,49,38,43,47,26,38
13,20,30,27,39,26,28,41,29,34,40
14,24,28,31,30,29,34,26,27,30,43
15,18,22,30,24,29,25,28,28,32,36
16,21,9,22,29,21,28,25,19,22,22
17,12,13,16,17,19,19,17,13,19,27
18,6,4,13,20,14,17,17,18,28,17
19,9,7,4,19,9,12,15,10,18,17
20,3,1,8,13,15,11,6,14,18,12
21,7,3,7,12,6,11,8,9,15,14
22,1,3,5,3,8,3,14,4,4,10
23,2,1,4,6,6,5,6,11,3,3
24,4,2,3,4,3,7,4,4,5,5
25,1,2,2,6,2,2,4,3,2,2
26,2,0,3,3,4,2,2,3,6,3
27,1,2,2,1,2,0,0,3,2,1
28,0,1,2,3,1,2,0,1,2,3
29,0,0,0,1,0,1,1,1,1,0
30,0,0,0,0,2,1,0,1,0,1
31,0,0,0,1,1,1,0,1,0,0
32,0,0,0,0,1,2,1,1,0,0
33,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,2,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0
36,0,0,1,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,1
