,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,119,66,22,8,4,5,1,0,0,0,0,0,0,0,0
1,40,47,20,10,3,3,2,1,0,0,0,0,0,0,0
2,20,26,12,11,4,2,2,0,1,0,1,0,0,0,0
3,6,7,7,7,1,0,1,1,1,0,0,0,0,0,0
4,1,5,5,6,2,1,1,1,0,0,0,0,1,0,0
5,0,2,5,1,1,2,0,2,0,1,1,0,0,0,0
6,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0
7,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0
8,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0
9,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
