,0,1,2,3,4,5,6,7,8,9
0.0,17,14,23,18,32,18,21,31,17,18
1.0,23,25,34,22,38,27,37,41,34,25
2.0,36,39,51,30,60,38,43,44,37,44
3.0,53,54,72,80,68,60,63,71,43,42
4.0,48,66,79,61,69,60,62,64,62,53
5.0,50,52,70,71,66,70,57,59,46,63
6.0,41,25,52,53,47,50,58,49,62,59
7.0,43,44,46,66,39,41,42,44,45,57
8.0,31,34,32,36,33,48,37,33,55,36
9.0,23,19,19,24,31,41,34,30,41,31
10.0,8,16,15,18,13,25,17,21,32,38
11.0,12,8,10,17,15,13,26,23,20,30
12.0,11,4,8,12,7,6,14,8,21,19
13.0,5,4,11,12,6,8,6,3,12,16
14.0,1,1,7,5,1,8,9,5,6,9
15.0,4,3,0,3,0,3,8,4,9,9
16.0,2,0,0,0,3,3,1,1,5,5
17.0,1,1,1,2,2,4,0,2,3,4
18.0,0,0,0,0,0,0,0,2,1,3
19.0,0,0,0,0,0,1,0,0,3,2
