,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,12,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,7,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,6,5,9,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3,2,15,18,22,11,7,3,1,1,0,0,0,0,0,0,0,0,0
4,1,3,11,10,11,12,8,3,0,1,1,0,0,0,0,0,0,0
5,1,3,5,12,18,14,5,3,4,2,1,1,1,1,0,0,0,0
6,0,0,1,8,15,8,9,5,2,3,1,1,0,0,0,0,0,0
7,0,1,5,6,11,9,6,9,9,8,1,1,0,0,0,0,0,0
8,0,0,3,1,1,5,7,8,5,1,1,3,0,1,0,0,0,0
9,0,0,2,0,1,5,2,5,4,2,1,1,0,1,0,0,0,0
10,0,0,1,0,1,2,3,2,2,4,2,1,0,0,0,0,0,0
11,0,0,0,0,0,2,1,0,1,3,2,4,3,1,0,0,0,0
12,0,0,0,0,0,0,0,0,3,3,3,2,1,0,0,0,0,0
13,0,0,0,0,0,0,2,3,1,2,0,0,1,1,0,0,1,1
14,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0
15,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
