,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,4,5,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,8,8,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,11,3,9,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,5,11,13,10,9,4,3,1,0,0,1,0,0,0,0,0,0,0,0
4,2,5,4,15,12,9,5,3,3,1,0,1,0,0,0,0,0,0,0,0
5,2,0,6,9,14,10,12,9,5,0,1,1,1,0,0,0,0,0,0,0
6,0,1,1,8,3,8,8,8,7,2,2,2,0,0,0,0,0,0,0,0
7,0,0,1,3,3,8,2,7,3,5,2,6,1,0,0,0,0,0,0,0
8,1,0,0,1,3,4,8,2,6,8,4,2,3,3,2,1,0,0,0,0
9,2,0,0,1,2,3,7,2,5,6,4,5,1,0,2,1,0,0,0,0
10,2,0,0,0,1,0,2,4,4,3,1,5,2,0,0,0,1,0,0,0
11,1,0,0,0,0,2,2,2,2,2,0,1,0,0,1,0,0,0,0,0
12,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,1,0,0,0,0
13,0,0,0,0,0,0,0,0,0,2,1,0,2,1,2,0,0,0,0,0
14,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,3,0,0,0,0
15,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
