,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,161,20,15,9,1,0,0,0,0,0,1,1,0,0,0,0
1,29,14,8,6,1,0,4,0,1,0,1,0,1,0,0,0
2,23,8,6,10,4,1,2,3,0,1,2,0,0,0,0,0
3,10,6,4,2,1,0,1,1,1,0,2,0,1,1,0,0
4,7,3,4,3,2,0,0,1,1,1,0,0,0,0,0,0
5,4,3,1,2,1,0,3,1,0,1,0,0,0,0,0,0
6,3,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0
7,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
10,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0
11,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
