,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,151,18,6,2,6,2,0,0,1,0,1,0,0,0,1
1,33,11,10,4,3,1,1,0,1,0,0,0,0,0,0
2,16,4,3,4,5,2,1,0,0,1,0,0,0,0,0
3,8,5,3,3,3,4,0,1,1,1,0,1,0,0,0
4,6,4,1,3,4,1,0,0,0,2,0,0,1,2,0
5,3,1,1,2,0,3,0,0,0,0,0,1,0,0,0
6,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0
9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0
11,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
13,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
