,0,1,2,3,4,5,6,7,8,9
0.0,28,29,30,32,89,17,21,37,31,52
1.0,4,9,12,6,8,10,6,12,7,9
2.0,16,14,23,11,14,11,17,7,12,7
3.0,16,14,20,20,14,9,9,13,12,4
4.0,15,23,24,19,15,25,16,13,16,16
5.0,16,15,25,16,19,24,17,13,22,27
6.0,21,17,24,20,17,30,30,20,20,15
7.0,21,11,26,23,21,18,15,17,22,17
8.0,12,17,13,19,22,21,23,15,24,28
9.0,20,19,28,24,18,25,21,24,28,20
10.0,11,8,27,19,16,28,16,14,33,17
11.0,11,13,16,18,18,28,24,20,24,16
12.0,15,15,23,21,19,23,17,22,26,23
13.0,12,16,12,16,14,20,15,23,16,23
14.0,10,15,16,19,13,13,14,14,19,24
15.0,10,14,13,14,15,25,19,9,22,18
16.0,13,14,15,9,10,22,12,12,16,15
17.0,9,6,13,11,8,9,19,12,14,8
18.0,4,14,11,12,8,11,18,14,9,16
19.0,10,9,7,10,8,10,8,9,14,14
20.0,8,6,11,12,8,10,13,4,8,14
21.0,9,12,8,8,9,9,14,12,15,18
22.0,3,7,8,6,13,9,9,10,1,11
23.0,2,6,12,5,7,6,8,11,5,15
24.0,7,3,4,7,11,7,6,7,8,8
25.0,7,4,8,5,7,8,5,9,4,3
26.0,2,4,3,7,11,3,4,6,6,6
27.0,6,1,6,9,9,2,1,5,6,0
28.0,4,3,6,6,3,1,3,5,11,2
29.0,6,6,5,3,6,3,5,3,7,5
30.0,3,1,1,5,3,1,1,8,5,7
31.0,3,0,4,4,1,5,2,2,3,3
32.0,1,0,7,5,7,4,5,5,3,2
33.0,5,1,1,5,5,4,7,4,3,5
34.0,1,2,1,3,4,2,6,5,1,4
35.0,1,1,1,5,2,2,1,4,3,1
36.0,3,0,3,4,2,4,2,1,4,2
37.0,1,1,2,5,4,4,2,0,1,3
38.0,2,1,1,0,4,1,3,1,3,2
39.0,3,3,1,2,1,1,3,0,3,5
40.0,1,0,1,4,3,2,2,3,1,1
41.0,0,1,3,0,1,1,2,2,0,0
42.0,0,0,1,0,2,0,3,0,2,1
43.0,1,2,0,2,0,0,0,1,3,1
44.0,0,0,1,1,1,1,1,1,0,0
45.0,0,1,0,0,1,1,2,1,2,2
46.0,0,1,0,1,0,0,1,0,1,1
47.0,0,0,0,1,1,3,1,5,0,2
48.0,0,0,1,2,0,2,0,0,0,1
49.0,1,0,0,0,0,0,0,0,1,1
