,triangle_i,triangle_j,wave,n_triangles_i,n_triangles_j,n_transitions_ij,n_transitions_ji,relative_error
0,+0+0+0+0+0+0,+0+0+0+0+0+1,0,5805221.0,593500.0,158839.0,194209.0,34.10415234863762
1,+0+0+0+0+0+0,+0+0+0+0+2+1,0,5805221.0,151731.0,9741.0,8688.0,6.0392996415078475
2,+0+0+0+0+0+0,+0+0+0+0+2+2,0,5805221.0,161339.0,5607.0,1899.0,30.893790480764626
3,+0+0+0+0+0+0,+0+0+0+0+0+2,0,5805221.0,115537.0,18495.0,21014.0,10.016290197215206
4,+0+0+0+0+0+0,+0+0+0+0+0-1,0,5805221.0,105465.0,37179.0,44910.0,23.390875622595715
5,+0+0+0+0+0+0,+0+0+0+0+0-2,0,5805221.0,45712.0,10616.0,15578.0,19.87727405423872
6,+0+0+0+0+0+0,+0+0+0+0-1+1,0,5805221.0,14452.0,2089.0,2652.0,5.735951289572396
7,+0+0+0+0+0+0,+0+0+0+1+0+1,0,5805221.0,7535.0,823.0,1500.0,8.982793095788901
8,+0+0+0+0+0+0,+0+0+0+0-2-1,0,5805221.0,5072.0,836.0,1015.0,6.786828766892173
9,+0+0+0+0+0+0,+0+0+0+1+1+1,0,5805221.0,6942.0,441.0,647.0,3.50962640247557
10,+0+0+0+0+0+0,+0+0+0+1+1+0,0,5805221.0,6348.0,733.0,1012.0,4.391434535432518
11,+0+0+0+0+0+0,+0+0+0+0-2+1,0,5805221.0,7513.0,830.0,1565.0,9.387309130988356
12,+0+0+0+0+0+0,+0+0+0+0-1-1,0,5805221.0,6677.0,551.0,820.0,6.487702434940431
13,+0+0+0+0+0+0,+0+0+1+0+1+0,0,5805221.0,3899.0,457.0,586.0,2.0981909829582928
14,+0+0+0+0+0+0,+0+0+0+0-2-2,0,5805221.0,4372.0,223.0,481.0,7.602655928145392
15,+0+0+0+0+0+0,+0+0+0+1+2+2,0,5805221.0,4715.0,81.0,29.0,3.5715746357009266
16,+0+0+0+0+0+0,+0+0+2+2+1+0,0,5805221.0,3098.0,59.0,22.0,3.0090980874797
17,+0+0+0+0+0+0,+0+0+0+2+0+1,0,5805221.0,2713.0,126.0,357.0,7.270663738049046
18,+0+0+0+0+0+0,+0+0+0+0-1+2,0,5805221.0,3274.0,0.0,255.0,13.031529034917902
19,+0+0+0+0+0+0,+0+0+2+2+1+1,0,5805221.0,1999.0,26.0,7.0,2.570114929594179
20,+0+0+0+0+0+0,+0+0+0-1+0+1,0,5805221.0,1801.0,269.0,344.0,3.188462892654996
21,+0+0+0+0+0+0,+0+0-1+0+1+0,0,5805221.0,1467.0,222.0,280.0,2.524972356753168
22,+0+0+0+0+0+0,+0+0+0-1+1+0,0,5805221.0,1278.0,139.0,254.0,4.081876055669411
23,+0+0+0+0+0+0,+0+1+0+1+0+1,0,5805221.0,1013.0,36.0,95.0,3.1906939088731407
24,+0+0+0+0+0+0,+0+0+0-2+0+1,0,5805221.0,644.0,62.0,137.0,3.170390529232869
25,+0+0+0+0+0+0,+0+0-2+0+1+0,0,5805221.0,646.0,53.0,98.0,2.294896134333051
26,+0+0+0+0+0+0,+0+0+2+2+1+2,0,5805221.0,677.0,10.0,0.0,3.1603889442323547
27,+0+0+0+0+0+0,+0+0+0+1-2+0,0,5805221.0,691.0,50.0,137.0,4.042229458983195
28,+0+0+0+0+0+0,+0+0-1+0+2+2,0,5805221.0,574.0,11.0,1.0,2.221815458456722
29,+0+0+0+0+0+0,+0+0+0+2+0+2,0,5805221.0,309.0,20.0,41.0,2.033682669243593
30,+0+0+0+0+0+0,+0+0+0-1+0-1,0,5805221.0,494.0,88.0,176.0,4.301216042613624
31,+0+0+0+0+0+0,+0+0+0+1-1+1,0,5805221.0,373.0,24.0,46.0,2.0971968428734042
32,+0+0+0+0+0+0,+0+0+0-2+0-1,0,5805221.0,353.0,27.0,101.0,4.05215578018453
33,+0+0+0+0+0+0,+0+0+0+2-2+0,0,5805221.0,171.0,2.0,20.0,2.671291016144673
34,+0+0+0+0+0+0,+0+0+0+1-1-1,0,5805221.0,200.0,0.0,13.0,3.0128330462624935
35,+0+0+0+0+0+0,+0+0+0+1-2+1,0,5805221.0,192.0,3.0,31.0,3.171309146911644
