,0,1,2,3,4,5,6,7,8,9
+2+2,525,496,646,723,581,713,616,601,824,816
+2+1,260,297,384,355,287,340,384,329,392,389
+1+2,236,222,294,376,291,409,351,340,415,414
+1+1,669,674,946,1038,915,1014,903,852,1025,1038
+2+0,227,218,255,275,370,300,321,268,384,357
+0+2,158,173,230,254,309,342,331,299,390,434
+1+0,1145,1035,1488,1435,1690,1498,1392,1401,1596,1540
+0+1,824,905,1222,1295,1432,1425,1461,1338,1552,1499
+0+0,57792,59635,108351,97565,113966,105684,93933,88623,115842,115368
+0-1,165,179,205,246,288,245,244,218,239,245
-1+0,184,171,174,257,245,218,237,221,206,207
+0-2,91,64,89,97,128,108,114,110,138,131
-2+0,61,72,65,81,103,112,109,94,104,129
-1-1,22,13,14,24,28,27,29,16,20,29
-1-2,9,10,9,19,16,17,15,14,13,20
-2-1,8,13,12,17,19,9,18,8,9,17
-2-2,15,12,13,17,23,14,16,15,24,16
-1+1,20,24,17,35,29,23,25,16,17,38
+1-1,28,20,34,39,33,38,35,39,26,33
-2+1,16,7,5,20,13,11,13,4,12,16
+1-2,9,12,14,12,7,12,15,9,15,6
-1+2,5,2,2,7,4,5,3,4,4,4
+2-1,6,3,8,2,3,5,6,5,6,5
-2+2,3,0,2,3,4,3,3,2,1,2
+2-2,3,4,2,4,2,3,2,4,2,7
