motif,0,1,2,3,4,5,6,7,8,9
+1+1+1+1+1+1,178,197,262,369,277,289,229,215,312,316
+2+1+1+1+1+1,286,291,453,517,400,458,426,416,500,549
+2+1+1+1+1+2,52,54,99,73,52,73,80,84,98,98
+2+1+1+2+1+1,37,41,63,91,63,99,85,101,94,91
+2+1+1+2+2+1,0,2,1,9,2,4,6,8,4,4
+2+1+2+1+1+1,100,98,175,142,120,194,173,191,190,203
+2+1+2+1+2+1,59,75,102,91,67,106,107,107,107,120
+2+2+1+1+1+1,361,313,437,634,484,516,486,432,609,677
+2+2+1+2+1+1,157,129,190,301,184,240,206,186,311,263
+2+2+1+2+1+2,109,84,119,126,84,140,142,115,180,199
+2+2+2+1+1+1,287,232,301,380,308,393,379,367,419,519
+2+2+2+1+1+2,62,43,57,73,36,70,80,84,120,114
+2+2+2+1+2+1,101,113,173,155,118,184,157,168,171,231
+2+2+2+2+1+1,178,126,200,283,228,271,174,185,293,352
+2+2+2+2+2+1,261,247,302,404,239,374,323,324,528,514
+2+2+2+2+2+2,222,181,237,275,231,294,253,242,394,393
-1+1+1+1+1+1,27,31,32,47,29,34,23,24,20,41
-1+1+1+1+1+2,9,5,4,10,3,5,7,6,4,2
-1+1+1+1+1-1,3,2,3,2,1,1,2,0,1,3
-1+1+1+1+2+1,16,10,11,7,14,20,11,15,14,25
-1+1+1+1+2+2,25,11,14,22,16,15,15,6,13,20
-1+1+1+2+1+1,10,12,13,13,12,19,9,13,6,14
-1+1+1+2+1+2,10,3,4,6,4,12,6,2,5,6
-1+1+1+2+2+1,3,7,4,5,3,3,1,3,2,7
-1+1+1+2+2+2,10,6,3,9,3,7,6,10,7,7
-1+1+1-1+1+1,1,1,0,0,0,1,0,0,0,1
-1+1+1-1+2+1,1,0,0,0,0,0,1,0,0,0
-1+1+2+1+1+1,6,3,12,12,13,12,12,12,14,13
-1+1+2+1+1+2,0,3,0,0,0,2,3,1,3,2
-1+1+2+1+1-1,0,1,0,4,6,1,2,3,0,1
-1+1+2+1+2+1,3,3,2,2,6,11,5,9,3,11
-1+1+2+1+2+2,3,2,1,5,6,4,7,2,0,8
-1+1+2+1-1+1,0,1,0,0,0,0,0,0,0,1
-1+1+2+2+1+1,28,20,21,23,25,29,12,20,11,27
-1+1+2+2+1+2,7,4,1,5,2,8,4,5,1,13
-1+1+2+2+1-1,3,1,1,3,3,2,1,2,2,1
-1+1+2+2+2+1,4,3,4,8,7,14,12,8,7,10
